# FEAT_ID     Feature Postfix Expression (RPN)
0             142|130|add
1             146|130|sub
2             131|130|add
3             143|85|add
4             138|130|add
5             130|43|add
6             165|143|add
7             143|124|add
8             143|43|add
9             165|130|add
10            130|121|add
11            130|124|add
12            130|60|add
13            130|85|add
14            143|89|add
15            143|117|add
16            130|89|add
17            172|143|add
18            130|117|add
19            172|130|add
#-----------------------------------------------------------------------
20            52|21|sub
21            100|23|sub
22            2|165|div
23            155|23|sub
24            48|21|sub
25            38|65|div
26            112|23|sub
27            104|23|sub
28            21|56|div
29            177|23|sub
30            23|13|sub
31            159|23|sub
32            23|19|sub
33            23|22|sub
34            72|43|sub
35            2|125|div
36            70|23|sub
37            54|23|sub
38            153|23|sub
39            2|88|div
#-----------------------------------------------------------------------
40            169|136|div
41            95|78|mult
42            166|56|mult
43            133|76|div
44            123|76|div
45            184|2|div
46            97|56|mult
47            24|76|div
48            137|136|div
49            36|46|div
50            3|46|div
51            54|76|div
52            169|76|div
53            68|76|div
54            137|76|div
55            56|58|div
56            36|58|div
57            3|58|div
58            118|68|mult
59            68|136|div
#-----------------------------------------------------------------------
60            172|123|div
61            67|2|mult
62            121|123|div
63            106|123|div
64            165|123|div
65            7|123|div
66            66|2|mult
67            99|123|div
68            77|123|div
69            93|123|div
70            16|123|div
71            131|123|div
72            138|123|div
73            88|123|div
74            71|123|div
75            35|123|div
76            146|123|div
77            142|123|div
78            97|2|mult
79            123|inv
#-----------------------------------------------------------------------
80            130|27|mult
81            130|29|mult
82            130|61|mult
83            130|86|mult
84            161|76|div
85            164|143|mult
86            176|47|div
87            143|87|mult
88            130|15|mult
89            130|87|mult
90            104|76|div
91            130|62|mult
92            143|62|mult
93            1|47|div
94            143|110|mult
95            130|110|mult
96            143|45|mult
97            2|76|div
98            187|47|div
99            59|47|div
#-----------------------------------------------------------------------
