# c0 + a0 * (heat_of_formation_std / surf_charge_sum) + a1 * (lattice_constant_sum + Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.453121973267767; Max AE: 1.26060972774441
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.117349762604829e-01,  4.813260338755067e-01,  4.881195323963911e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         26|321|div; (heat_of_formation_std / surf_charge_sum); $\left(\frac{ heat_{of, formation, std} }{ surf_{charge, sum} } \right)$; (heat_of_formation_std ./ surf_charge_sum); heat_of_formation_std,surf_charge_sum
# 1;  1; Unitless;                                         303|83|add; (lattice_constant_sum + Tx_s_fill); $\left(lattice_{constant, sum} + Tx_{s, fill}\right)$; (lattice_constant_sum + Tx_s_fill); lattice_constant_sum,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.181825419945348e+00, -7.778902596857944e-01, -5.570547514145128e+00, -4.244050898925012e-01
sample_1    ,  9.820173801588558e-01,  9.815372643548680e-01,  1.045021837562864e+00,  1.695233092491526e+00
sample_2    , -2.265898778388331e-01, -1.342446166147772e-01, -7.455288467063315e-01, -2.072502105547450e-01
sample_3    , -1.580056596568767e+00, -1.301758322278933e+00,  3.124809935219234e-01, -2.878475782321693e+00
sample_4    , -6.538388790589450e-01,  1.050286506679160e-01,  7.100781004195130e-01, -4.804199365448647e-02
sample_5    , -1.243329001943635e-01, -5.214694387612135e-01, -3.038328278361448e+00, -4.794958878253330e-01
sample_6    , -1.464725422431774e+00, -1.230398948703347e+00,  1.795566177062957e-01, -2.699362936798602e+00
sample_7    , -5.544795303232762e-01, -1.158856362033288e+00,  1.027501095714885e+00, -2.747568244256457e+00
sample_8    ,  1.375534745025239e+00,  9.815372643548680e-01,  1.045021837562864e+00,  1.695233092491526e+00
sample_9    , -1.322271680592587e+00, -1.263149057888520e+00,  5.671745993942948e-01, -2.857385960308882e+00
sample_10   ,  3.192860772233725e-01,  1.864521815091650e-01,  1.634873865975737e+00, -9.355896245953832e-02
sample_11   ,  1.159555402280817e+00,  9.969215915591737e-01,  8.493995430872691e-01,  1.772607215253375e+00
sample_12   ,  1.180415291424685e-01,  2.143682423240264e-01, -1.816739769286025e-01,  3.861325037567429e-01
sample_13   ,  1.859810708562005e-01, -9.645239673139135e-03,  3.320427425411629e-01, -1.985306718165102e-01
sample_14   ,  4.735603295186470e-02,  2.143682423240264e-01, -1.816739769286025e-01,  3.861325037567429e-01
sample_15   , -1.512819293106766e+00, -3.556752081941830e-01, -2.716474168201207e+00, -2.097579969334437e-01
sample_16   , -4.904647979091847e-01, -1.591246846254662e-01, -1.113949335836266e+00, -1.734157917825166e-01
sample_17   ,  8.217680552511124e-02,  1.016002190460771e+00,  1.489658380347307e+00,  1.663619328897356e+00
sample_18   ,  1.184682610579223e+00,  9.976980745252432e-01,  1.107531538377498e+00,  1.714297696497914e+00
sample_19   , -1.570848599014777e+00, -1.169148580342702e+00,  1.194958673725323e+00, -2.807824878578775e+00
sample_20   , -1.371480668945601e+00, -1.169148580342702e+00,  1.194958673725323e+00, -2.807824878578775e+00
sample_21   , -1.540845998544176e+00, -1.180435033699048e+00,  7.305492593120393e-01, -2.723465590527530e+00
sample_22   , -4.503452829583460e-01, -1.339445912861002e-01,  2.424762454747861e-01, -4.359822808002785e-01
sample_23   , -1.604395816727296e-01,  1.283571649404369e-01,  9.852965710177136e-01, -6.346400385918560e-02
sample_24   ,  4.029752984309805e-01,  1.298362062412832e+00, -6.809553886817101e-01,  2.754134516033393e+00
sample_25   ,  1.159859402839996e+00,  9.976980745252432e-01,  1.107531538377498e+00,  1.714297696497914e+00
sample_26   , -4.882595012842761e-01, -8.564192552531518e-01, -1.066783113066925e+01,  5.957264503950399e-01
sample_27   , -6.292389468500847e-01, -1.591246846254662e-01, -1.113949335836266e+00, -1.734157917825166e-01
sample_28   ,  9.390649292973059e-01,  1.456200539328174e+00,  8.247654994885752e-01,  2.732520869467231e+00
sample_29   , -1.840501760547247e-01,  5.460471460918884e-02, -2.357929892829673e+00,  5.594046093887337e-01
sample_30   , -7.494366413350256e-03, -2.697361846930804e-01, -9.295828102003635e-01, -4.460203886631146e-01
sample_31   , -1.033760245705074e+00, -1.181675403347827e+00,  1.114644118955951e+00, -2.815206316283259e+00
sample_32   , -1.276224306766404e+00, -7.778902596857944e-01, -5.570547514145128e+00, -4.244050898925012e-01
sample_33   , -1.176387515954566e+00, -1.161956138308533e+00,  1.096448830976003e+00, -2.770013840541520e+00
sample_34   ,  3.616514535288465e-02,  1.923172105911887e-01,  1.839965487420008e+00, -1.289837622236127e-01
sample_35   , -6.865864347172117e-01, -1.892044852817625e-01, -1.015849474898430e+00, -2.586822918280081e-01
sample_36   , -5.779541781958595e-01, -1.181675403347827e+00,  1.114644118955951e+00, -2.815206316283259e+00
sample_37   ,  8.850240829451580e-01,  9.855519910338834e-01,  5.921415993502226e-01,  1.808705636049544e+00
sample_38   ,  7.291833242535585e-01,  1.381270538121649e+00,  3.399283976100248e-01,  2.689396796225657e+00
sample_39   ,  1.295296019257506e+00,  1.045404332507713e+00,  1.573652784324618e+00,  1.705206585566919e+00
