# c0 + a0 * (surf_M_Tx_length_max - site_bond_length_max) + a1 * (surf_bond_length_sum^2) + a2 * (surf_bond_length_std / lattice_param_gamma)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.679582320036419; Max AE: 4.1488411387327
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.442498557618908e-01, -2.921542613786253e-01, -1.400034862929908e-01,  1.974679556227624e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         35|30|sub; (surf_M_Tx_length_max - site_bond_length_max); $\left(surf_{M, Tx, length, max} - site_{bond, length, max}\right)$; (surf_M_Tx_length_max - site_bond_length_max); surf_M_Tx_length_max,site_bond_length_max
# 1;  1; Unitless;                                         34|sq; (surf_bond_length_sum^2); $\left(surf_{bond, length, sum}^2\right)$; (surf_bond_length_sum).^2; surf_bond_length_sum
# 2;  1; Unitless;                                         24|41|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# Number of Samples Per Task
# Task, n_samples               
# all , 249                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_38   , -1.100481865948098e+00, -1.339733369728537e+00, -2.143991812718268e+00,  5.345061742959439e+00, -3.914552028014121e+00
sample_39   ,  1.561297962794731e+00,  1.526403929541344e+00,  3.766102540458880e+00,  6.192455318566428e-01, -4.214046437128890e+00
sample_40   ,  4.449115042101464e-01,  9.516362665451185e-01,  6.699481176300929e-01,  8.263425414837229e-01, -5.942373984424270e+00
sample_41   ,  3.919541014100157e-01,  3.507228301988017e-01,  1.572994217315198e+00,  1.608133244021061e+00, -1.706202111910256e+00
sample_42   , -8.338224099588942e-01,  5.575667630050701e-02, -2.012559807211572e+00,  1.039253571517762e-02, -2.520597138263805e+00
sample_43   ,  5.480999105234923e-01,  1.080764059378829e+00,  4.491206683874980e-01,  2.250263459101446e-01, -5.995142502425434e+00
sample_44   , -1.696416836532710e+00, -6.325349817976581e-01,  7.182182425056827e-01,  1.456565593358574e-01,  6.877496272023038e+00
sample_45   , -1.937473662653618e-01, -4.356950695925866e-01,  1.557293075725067e+00,  5.345061742959439e+00, -3.914552028014121e+00
sample_46   , -2.134808620130636e-01,  2.345033371674460e-01, -9.618732199210611e-03,  6.189744148903634e-02, -4.104780410692260e-01
sample_47   ,  4.733815803757341e-01,  9.631243704771433e-02,  2.456489710082528e-01,  7.011666763401674e-01, -3.120892863064653e-01
sample_48   , -4.143925671383314e-01, -3.339692904725636e-01,  4.194508515900621e+00,  3.340083478222884e+00,  4.143651989914502e+00
sample_49   , -8.832838788083209e-01, -1.153620345520790e+00, -1.539983435939253e+00,  4.048044046610910e+00, -1.483575551764392e+00
sample_50   , -9.227480347312180e-01, -7.170272136100319e-01,  7.797756944209799e-01,  8.557871677012242e-01,  6.106515093885141e+00
sample_51   ,  8.747541352028874e-01,  7.016894363144776e-01,  4.921590631966433e-02,  8.717727035034608e-01, -5.334814387343152e+00
sample_52   ,  1.407295392484003e+00,  6.389980531444475e-01, -1.373219738165909e+00,  4.803970348970978e-02, -5.649672344106288e+00
sample_53   , -6.485601439105799e-01,  4.120375007959723e-02, -1.907971777895781e-01,  8.290870952012050e-02,  6.102697286964390e-01
sample_54   , -8.270953455021176e-01,  5.548505797462255e-02, -2.013671858332492e+00,  1.039253571517762e-02, -2.520597138263805e+00
sample_55   ,  1.316144104083787e+00,  2.040153765251264e-01,  2.144516516345599e-01,  1.345151322644469e-01,  4.666451628666329e-02
sample_56   ,  1.651268236838063e+00,  1.455128350711063e+00,  4.067998432977808e+00,  6.628303105984602e-01, -3.269211906968390e+00
sample_57   , -1.100786754026660e+00, -1.339870274225522e+00, -2.144552322760569e+00,  5.345061742959439e+00, -3.914552028014121e+00
sample_58   ,  1.657989436832829e+00,  9.861041370836657e-01, -1.654265038574656e+00,  7.117733083461275e-04, -8.520488722926839e+00
sample_59   , -1.109223021950149e+00, -1.700803001123046e-01,  9.148763073595996e-01,  2.472229403915494e-02,  4.169781437237343e+00
sample_60   , -1.179710490296530e+00, -1.102178432893133e+00, -1.316491062112592e+00,  3.519479259574886e+00, -3.581141324616102e-01
sample_61   , -2.380373981029233e+00, -6.025299593141576e-01,  1.035859517763732e+00,  8.714439822794795e-02,  7.339437557235785e+00
sample_62   , -1.442840436625101e+00, -1.147093854015939e+00, -1.482681590175895e+00,  4.016559480448433e+00, -1.364522614790503e+00
sample_63   ,  2.742471323600454e-01, -3.878179810314485e-01,  5.498917362502336e-01,  4.537727542995622e-02,  5.045158290224200e+00
sample_64   , -1.359045644488029e+00, -1.012929399699798e+00, -1.708216057839438e-01,  3.243925559911344e+00,  1.578157320763354e+00
sample_65   , -3.726105271542456e-01, -1.069607765416311e+00,  1.109330108347422e-01,  2.861059737413200e-01,  8.646813344110923e+00
sample_66   ,  4.961945037028541e-01,  5.640751956917590e-02, -1.642783864189872e+00,  7.614512643918350e-02, -2.017345542411060e+00
sample_67   , -8.186980666536994e-01, -1.153620345520790e+00, -1.539983435939253e+00,  4.048044046610910e+00, -1.483575551764392e+00
sample_68   , -1.519725205686222e+00, -9.318341649354951e-01, -1.215149262963912e+00,  4.166568448386586e+00, -2.748350411549555e+00
sample_69   , -4.808586191048539e-01, -2.806740019192661e-01,  1.591682091151653e-02,  1.784773894106794e-01,  3.070542886183213e+00
