# c0 + a0 * (M_elec_aff / vdw_radius_av) + a1 * (M_group_id * heat_of_formation_std) + a2 * (Tx_heat_form + Tx_elec_aff)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.363265139924036; Max AE: 1.16710999885401
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.104568214689129e-02, -3.069272571432666e-01,  8.901670606068154e-01,  6.602565776910618e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         140|24|div; (M_elec_aff / vdw_radius_av); $\left(\frac{ M_{elec, aff} }{ vdw_{radius, av} } \right)$; (M_elec_aff ./ vdw_radius_av); M_elec_aff,vdw_radius_av
# 1;  1; Unitless;                                         47|21|mult; (M_group_id * heat_of_formation_std); $\left(M_{group, id} heat_{of, formation, std}\right)$; (M_group_id .* heat_of_formation_std); M_group_id,heat_of_formation_std
# 2;  1; Unitless;                                         112|37|add; (Tx_heat_form + Tx_elec_aff); $\left(Tx_{heat, form} + Tx_{elec, aff}\right)$; (Tx_heat_form + Tx_elec_aff); Tx_heat_form,Tx_elec_aff
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  3.115458680505624e-01, -3.740469080380093e-02, -8.271282355102798e-01,  5.669406772877567e-02, -1.069075611356725e-01
sample_1    , -6.203848617387741e-01,  5.467251371152351e-01,  1.137890808344642e-01, -6.380694050510788e-02,  5.194219024614141e-01
sample_2    ,  7.513512606465996e-01,  4.961407985382339e-01, -3.160843499199748e+00,  1.286119614580217e-01,  4.883083231935281e-01
sample_3    ,  3.236213414409967e-01,  5.925529812545358e-01, -4.921540914361027e+01,  1.562137932080667e+00,  5.194219024614141e-01
sample_4    , -1.263980548035660e+00, -1.298029062618086e+00,  6.421685920812620e-01, -1.494068123983979e+00, -2.039540488362162e+00
sample_5    ,  8.196961398138903e-01,  5.414317134888090e-01, -2.481627074338633e+00,  4.684326968304189e-02,  5.194219024614141e-01
sample_6    , -4.234684172968203e-02, -1.094168535368951e-01, -4.424820458000189e-01,  2.774743392929638e-01, -1.069075611356725e-01
sample_7    ,  1.885896747217228e-01,  4.310102876595207e-01,  2.524959356288285e-01, -1.015767025458159e-01,  3.781278547953166e-01
sample_8    ,  8.187132870092673e-01,  6.364302049020305e-01, -3.005110200614405e+00, -2.438323256404268e-01,  5.194219024614141e-01
sample_9    ,  7.628593703405774e-01,  6.546546379277576e-02,  1.349295116777300e+00,  2.560812546291274e+00,  8.990749010097239e-01
sample_10   ,  1.155154906790374e-01, -3.401611157779676e-02,  4.056675032091887e-02,  1.442717243673748e-02, -1.069075611356725e-01
sample_11   , -6.601407096173287e-01, -1.692321129971166e+00, -4.414274829974745e-01, -1.704283503278201e-01, -2.039540488362162e+00
sample_12   ,  7.217373307392069e-01,  5.937056944981032e-01,  1.102949811213563e+00,  1.344829924401599e+00,  1.070167468496319e+00
sample_13   ,  8.258964111862611e-01,  5.106095522332393e-01, -8.105703394147962e+00, -6.012470293596405e-02,  3.781278547953166e-01
sample_14   , -1.588870096472677e+00, -1.692321129971166e+00, -4.414274829974745e-01, -1.704283503278201e-01, -2.039540488362162e+00
sample_15   , -1.306805782942450e+00, -1.298029062618086e+00,  6.421685920812620e-01, -1.494068123983979e+00, -2.039540488362162e+00
sample_16   , -4.914056689852132e-01,  5.467251371152351e-01,  1.137890808344642e-01, -6.380694050510788e-02,  5.194219024614141e-01
sample_17   ,  2.467801920517617e-01,  4.567959998280328e-01,  1.349739302957045e-01, -1.813597810519616e-01,  3.781278547953166e-01
sample_18   , -2.319759606923586e+00, -1.741781880741277e+00,  1.123738142398266e+00, -6.560732835605314e-02, -2.039540488362162e+00
sample_19   , -6.372433227465039e-01, -1.175282839679192e+00,  6.116208899858518e-01, -1.892888365205149e+00, -2.039540488362162e+00
sample_20   ,  2.180072209339664e-01,  1.057611207096710e-01,  3.504352662595132e-01, -4.521326983114375e-01, -1.069075611356725e-01
sample_21   , -2.992353523349867e-01,  4.039967376001823e-01,  4.233226013194255e+00,  2.529665172873962e-01,  5.194219024614141e-01
sample_22   ,  4.211526043798416e-02, -4.782011420944324e-02,  2.921766457262976e-01,  5.034708324752609e-02, -1.069075611356725e-01
sample_23   , -2.069000356978415e+00, -1.698401208593233e+00,  8.393123134480789e-01, -1.967100372572402e-01, -2.039540488362162e+00
sample_24   ,  1.874002453037688e-01,  4.310102876595207e-01,  2.524959356288285e-01, -1.015767025458159e-01,  3.781278547953166e-01
sample_25   ,  6.943714929309721e-01,  3.929697392986349e-01,  1.057544346582426e+00,  1.504270053941666e+00,  8.990749010097239e-01
sample_26   ,  4.372652784271939e-01,  6.876568965618624e-01,  2.147667560361862e+01, -1.382020581369217e+00,  4.883083231935281e-01
sample_27   ,  6.880050768711229e-01,  9.695271671179310e-01, -2.538898481209481e+00,  2.514282595312936e-01,  1.070167468496319e+00
sample_28   , -3.978268401166277e-02, -2.760342539924630e-01,  9.062378073954519e-01,  7.717929966325089e-01, -1.069075611356725e-01
sample_29   , -4.083688729350315e-02, -1.094168535368951e-01, -4.424820458000189e-01,  2.774743392929638e-01, -1.069075611356725e-01
sample_30   ,  9.493525296401219e-02, -3.401611157779676e-02,  4.056675032091887e-02,  1.442717243673748e-02, -1.069075611356725e-01
sample_31   ,  7.956386281871095e-01,  5.401450945923745e-01,  1.628726574728052e+00,  1.004202207044164e+00,  8.990749010097239e-01
sample_32   ,  2.376454624912727e-01, -2.760342539924630e-01,  9.062378073954519e-01,  7.717929966325089e-01, -1.069075611356725e-01
