# FEAT_ID     Feature Postfix Expression (RPN)
0             149|22|mult
1             164|93|add
2             164
3             119|31|add
4             149|76|mult
5             164|22|add
6             143|22|add
7             93|22|add
8             143|76|add
9             125|22|add
10            149|42|mult
11            137|76|add
12            137|22|add
13            101|31|add
14            177|82|add
15            119|22|add
16            101|11|sub
17            101|76|add
18            112|37|add
19            101|22|add
#-----------------------------------------------------------------------
20            67|37|mult
21            27|24|div
22            75|24|div
23            116|24|div
24            129|137|div
25            107|47|mult
26            45|117|div
27            107|67|mult
28            70|21|mult
29            47|22|mult
30            92|117|div
31            151|21|mult
32            115|21|mult
33            100|21|mult
34            88|21|mult
35            89|21|mult
36            95|21|mult
37            67|21|mult
38            56|21|mult
39            47|21|mult
#-----------------------------------------------------------------------
40            56|24|div
41            149|24|div
42            21|101|div
43            21|164|div
44            39|24|div
45            89|24|div
46            113|24|div
47            95|24|div
48            96|24|div
49            88|24|div
50            147|24|div
51            100|24|div
52            21|175|div
53            47|24|div
54            185|36|div
55            21|5|div
56            21|85|div
57            122|24|div
58            21|34|div
59            140|24|div
#-----------------------------------------------------------------------
60            21|37|div
61            17|54|div
62            71|36|mult
63            1|36|div
64            86|63|mult
65            86|7|mult
66            35|1|mult
67            17|34|div
68            122|36|mult
69            66|35|mult
70            122|83|div
71            71|34|div
72            66|36|mult
73            36|1|mult
74            35|3|mult
75            36|3|mult
76            39|37|div
77            147|36|mult
78            147|35|mult
79            122|35|mult
#-----------------------------------------------------------------------
80            182|92|div
81            12|92|div
82            25|92|div
83            51|92|div
84            92|inv
85            43|155|div
86            77|40|mult
87            14|92|div
88            158|92|div
89            157|40|mult
90            28|92|div
91            111|64|div
92            135|92|div
93            177|92|div
94            28|45|div
95            77|140|div
96            135|45|div
97            177|45|div
98            112|155|div
99            83|92|div
#-----------------------------------------------------------------------
