# c0 + a0 * (surf_M_M_length_sum / surf_bond_length_avg) + a1 * (lattice_param_b / surf_M_M_length_min) + a2 * (lattice_param_a * lattice_param_c) + a3 * (surf_bond_length_std / surf_bond_length_min) + a4 * (site_bond_length_max + surf_bond_length_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.682118105539162; Max AE: 3.9314073940492
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.185678855867179e-01, -4.461196934163231e-03,  2.896628576774053e-01, -3.136280088069052e-02,  2.604881979002841e-01, -2.485249898517986e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         22|1|div; (surf_M_M_length_sum / surf_bond_length_avg); $\left(\frac{ surf_{M, M, length, sum} }{ surf_{bond, length, avg} } \right)$; (surf_M_M_length_sum ./ surf_bond_length_avg); surf_M_M_length_sum,surf_bond_length_avg
# 1;  1; Unitless;                                         43|0|div; (lattice_param_b / surf_M_M_length_min); $\left(\frac{ lattice_{param, b} }{ surf_{M, M, length, min} } \right)$; (lattice_param_b ./ surf_M_M_length_min); lattice_param_b,surf_M_M_length_min
# 2;  1; Unitless;                                         19|14|mult; (lattice_param_a * lattice_param_c); $\left(lattice_{param, a} lattice_{param, c}\right)$; (lattice_param_a .* lattice_param_c); lattice_param_a,lattice_param_c
# 3;  1; Unitless;                                         12|33|div; (surf_bond_length_std / surf_bond_length_min); $\left(\frac{ surf_{bond, length, std} }{ surf_{bond, length, min} } \right)$; (surf_bond_length_std ./ surf_bond_length_min); surf_bond_length_std,surf_bond_length_min
# 4;  1; Unitless;                                         45|37|add; (site_bond_length_max + surf_bond_length_sum); $\left(site_{bond, length, max} + surf_{bond, length, sum}\right)$; (site_bond_length_max + surf_bond_length_sum); site_bond_length_max,surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.604369091098126e-02, -8.399932702868822e-02,  3.997827480815362e-01,  1.659298443668543e+01,  1.731601166993335e-01,  5.198313738608086e-01,  6.038436823070868e-01
sample_1    , -3.202941263068643e-01, -5.952401888201297e-01, -6.788156533634765e+00, -1.568730804552323e+00,  1.094339230827206e+00, -2.089128919050554e+00,  2.634798374040221e-01
sample_2    ,  1.566373447609220e+00,  1.291429919754577e+00,  5.895650667167509e-01,  2.783249524105266e+00,  3.089038916595935e+00, -4.998421396801265e-01,  2.195921986210044e+00
sample_3    , -1.229988929140020e+00, -1.023697405512866e+00, -3.712996192032584e+00,  2.187865902887790e-01,  3.666565842294419e-01,  1.980425007449610e+00, -1.451310960604325e+00
sample_4    , -5.015740038132262e-02, -2.273542822791559e-02, -4.740406026302755e-01, -3.059067640345188e-01,  1.562747663871816e-01, -9.803875956347241e-01,  7.855102401150428e-01
sample_5    ,  1.550035541557961e-02,  4.142431594944457e-02,  6.440428678150647e-01,  1.342733727734716e+00,  7.070070260570763e-01,  7.076614162127990e-01,  1.419537358957834e-01
sample_6    , -2.849253345366325e-01, -2.889992055231217e-01,  2.037732810032697e+00, -2.588981152278169e+00, -1.332271145110130e+00, -8.951492720649415e-01,  2.464650533354575e-01
sample_7    , -8.596644739960076e-03, -2.517657078279226e-03,  5.252884157495087e-01,  1.429378768482959e+00,  3.176769895662155e-01,  7.664992929544167e-01,  4.688199973857567e-01
sample_8    , -4.879038376897022e-01, -6.071847440609980e-01,  7.926574706827974e-02,  3.824363513843127e-01, -1.637567375029869e-01,  1.369208262738756e-01, -1.207822618208510e+00
sample_9    , -3.337341530470113e-01,  1.566126207702221e-01, -2.878516058963220e-01,  3.528869684487360e+01,  6.503298612248747e-01, -7.203345877067638e+00,  7.002385754463872e-01
sample_10   , -4.485894358631982e-02, -9.293477027410832e-02,  6.163476401108907e-01,  1.021353803372730e+00, -1.541965248697300e-01, -5.531620210950216e+00, -1.602930726337423e-01
sample_11   , -1.889081706965685e-01,  1.733043299112084e-01,  2.085746324005912e+00, -7.347258160489573e-01, -7.742811512169694e-01, -2.229422069617893e+00,  1.249993684093159e+00
sample_12   , -8.803093077721602e-02, -5.716815874726436e-02,  2.039995829244253e-03, -1.144966039125821e+00, -1.083496933253107e+00, -1.214579430932258e+00,  1.772683918027026e+00
sample_13   ,  7.030961086560218e-01, -9.717359661799398e-03, -4.063904283878531e-01,  1.194013019776477e+00,  3.174017520920158e-01, -8.403699137315834e-01,  6.680661919398998e-01
sample_14   ,  1.654107030850625e+00,  1.291429919754577e+00,  5.895650667167509e-01,  2.783249524105266e+00,  3.089038916595935e+00, -4.998421396801265e-01,  2.195921986210044e+00
sample_15   , -2.721548534224627e-01,  1.566126207702220e-01, -2.878516058963220e-01,  3.528869684487360e+01,  6.503298612248747e-01, -7.203345877067638e+00,  7.002385754463867e-01
sample_16   , -1.091377553569199e-01, -1.064997953498034e-01,  5.695439230250857e-01,  1.787892740179758e+00,  1.169548322543605e+00,  1.943405572583728e-01, -9.605346027384749e-01
sample_17   , -1.016940770210921e-01,  1.386999280502278e-01,  5.695439230250857e-01,  1.787892740179758e+00,  1.169548322543605e+00,  1.943405572583728e-01, -1.922622340877250e-02
sample_18   , -3.085037806422997e-01, -7.476824232157435e-02, -2.878516058963220e-01,  3.528869684487360e+01,  6.503298612248747e-01, -7.203345877067638e+00, -1.880199520296637e-01
